img,link,skin;
/images/champion/skins/portrait/reksai-blackfrost.jp,/league-of-legends/skin/reksai-blackfrost-1183,Blackfrost Rek'Sai;
/images/champion/skins/portrait/alistar-blackfrost.jpg,/league-of-legends/skin/alistar-blackfrost-1184,Blackfrost Alistar;
/images/champion/skins/portrait/renekton-blackfrost.jpg,/league-of-legends/skin/renekton-blackfrost-1185,Blackfrost Renekton;
/images/champion/skins/portrait/sejuani-hextech.jpg,/league-of-legends/skin/sejuani-hextech-1186,Hextech Sejuani;
/images/champion/skins/portrait/katarina-blood-moon.jpg,/league-of-legends/skin/katarina-blood-moon-1180,Blood Moon Katarina;
/images/champion/skins/portrait/master-yi-blood-moon.jpg,/league-of-legends/skin/master-yi-blood-moon-1181,Blood Moon Master Yi;
/images/champion/skins/portrait/tryndamere-blood-moon.jpg,/league-of-legends/skin/tryndamere-blood-moon-1182,Blood Moon Tryndamere;
/images/champion/skins/portrait/jinx-heartseeker.jpg,/league-of-legends/skin/jinx-heartseeker-1177,Heartseeker Jinx;
/images/champion/skins/portrait/yuumi-heartseeker.jpg,/league-of-legends/skin/yuumi-heartseeker-1178,Heartseeker Yuumi;
/images/champion/skins/portrait/senna-true-damage-prestige-edition.jpg,/league-of-legends/skin/senna-true-damage-prestige-edition-1179,True Damage Senna Prestige Edition;
/images/champion/skins/portrait/trundle-dragonslayer.jpg,/league-of-legends/skin/trundle-dragonslayer-1171,Dragonslayer Trundle;
/images/champion/skins/portrait/diana-dragonslayer.jpg,/league-of-legends/skin/diana-dragonslayer-1175,Dragonslayer Diana;
/images/champion/skins/portrait/olaf-dragonslayer.jpg,/league-of-legends/skin/olaf-dragonslayer-1176,Dragonslayer Olaf;
/images/champion/skins/portrait/rengar-guardian-of-the-sands.jpg,/league-of-legends/skin/rengar-guardian-of-the-sands-1172,Guardian of the Sands Rengar;
/images/champion/skins/portrait/janna-guardian-of-the-sands.jpg,/league-of-legends/skin/janna-guardian-of-the-sands-1173,Guardian of the Sands Janna;
